1682921225.236017,"0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"
1682921225.2654545,"5,0.071777,-0.055786,0.996338,-1.770020,-2.929688,1.159668,9.851074,11.718750,-16.015625,"
1682921225.283522,"11,0.073242,-0.054810,0.996094,0.061035,-0.183105,-0.549316,9.680176,11.157227,-15.771484,"
1682921225.2981787,"11,0.077759,-0.056641,0.987549,0.549316,0.183105,-0.671387,9.680176,11.157227,-15.771484,"
1682921225.3099098,"11,0.078369,-0.063354,0.988770,0.427246,0.488281,-0.610352,9.680176,11.157227,-15.771484,"
1682921225.3227735,"12,0.075684,-0.071899,0.990723,0.305176,0.366211,-0.610352,10.351562,10.961914,-15.661621,"
1682921225.334908,"12,0.082520,-0.072632,0.990601,0.427246,0.122070,-0.488281,10.351562,10.961914,-15.661621,"
1682921225.350879,"12,0.081909,-0.070312,0.986694,0.427246,0.122070,-0.488281,10.351562,10.961914,-15.661621,"
1682921225.367808,"4,0.077881,-0.072754,0.987061,0.427246,-0.061035,-0.427246,10.351562,10.961914,-15.661621,"
1682921225.3791883,"15,0.076538,-0.069458,0.981689,0.427246,0.122070,-0.427246,10.534668,10.424805,-16.748047,"
1682921225.4002578,"15,0.078369,-0.070068,0.982056,0.427246,0.183105,-0.549316,10.534668,10.424805,-16.748047,"
1682921225.420569,"8,0.077271,-0.069824,0.990234,-0.061035,0.244141,-0.427246,10.534668,10.424805,-16.748047,"
1682921225.4400475,"12,0.078613,-0.067261,0.991333,-0.061035,-0.061035,-0.427246,9.680176,11.425781,-18.139648,"
1682921225.4597983,"12,0.079224,-0.065308,0.992188,0.183105,0.122070,-0.488281,9.680176,11.425781,-18.139648,"
1682921225.4784646,"5,0.077393,-0.062134,0.986572,0.305176,-0.244141,-0.488281,9.680176,11.425781,-18.139648,"
1682921225.4986472,"15,0.077881,-0.063232,0.982666,0.549316,-0.061035,-0.549316,9.741211,11.145020,-16.442871,"
1682921225.5206306,"9,0.076904,-0.064331,0.983032,0.610352,0.183105,-0.610352,9.741211,11.145020,-16.442871,"
1682921225.5403402,"12,0.079224,-0.066162,0.986938,0.305176,0.427246,-0.488281,9.741211,11.145020,-16.442871,"
1682921225.5633464,"11,0.082031,-0.069702,0.991455,0.427246,0.427246,-0.366211,10.278320,11.035156,-16.394043,"
1682921225.585786,"15,0.080566,-0.069946,0.991333,0.244141,0.122070,-0.122070,10.278320,11.035156,-16.394043,"
1682921225.6051707,"14,0.078979,-0.066772,0.990234,0.427246,-0.061035,-0.244141,10.278320,11.035156,-16.394043,"
1682921225.625029,"14,0.076416,-0.063843,0.984009,0.427246,-0.183105,-0.244141,10.278320,11.035156,-16.394043,"
1682921225.6493404,"8,0.076416,-0.063843,0.984009,0.427246,-0.183105,-0.244141,10.766602,11.181641,-17.016602,"
1682921225.665685,"13,0.077148,-0.067749,0.985107,0.427246,0.122070,-0.549316,10.766602,11.181641,-17.016602,"
1682921225.6845965,"5,0.078369,-0.072510,0.990234,0.488281,0.183105,-0.671387,10.766602,11.181641,-17.016602,"
1682921225.70362,"10,0.081665,-0.072021,0.991821,0.366211,0.305176,-0.427246,10.766602,11.181641,-17.016602,"
1682921225.7251303,"13,0.080933,-0.071533,0.990234,0.183105,0.000000,-0.427246,10.266113,11.206055,-16.198730,"
1682921225.7463312,"10,0.077393,-0.066895,0.987793,0.427246,0.000000,-0.244141,10.266113,11.206055,-16.198730,"
1682921225.7653189,"10,0.076172,-0.065796,0.985840,0.671387,0.183105,-0.427246,10.266113,11.206055,-16.198730,"
1682921225.787823,"7,0.077637,-0.064697,0.986206,0.305176,0.000000,-0.427246,10.021973,11.608887,-15.954590,"
1682921225.8117185,"11,0.077637,-0.064453,0.989624,0.366211,0.244141,-0.488281,10.021973,11.608887,-15.954590,"
1682921225.8340876,"11,0.079590,-0.066650,0.993286,0.366211,0.305176,-0.549316,10.021973,11.608887,-15.954590,"
1682921225.8552423,"13,0.078735,-0.066528,0.992920,0.427246,0.183105,-0.427246,10.021973,11.608887,-15.954590,"
1682921225.8760426,"12,0.078003,-0.067505,0.986938,0.488281,0.183105,-0.305176,10.388184,11.108398,-15.783691,"
1682921225.8999872,"13,0.078003,-0.067017,0.986206,0.549316,0.061035,-0.366211,10.388184,11.108398,-15.783691,"
1682921225.9175844,"15,0.078491,-0.068726,0.989746,0.183105,0.366211,-0.427246,9.985352,11.181641,-16.979980,"
1682921225.9384897,"15,0.078491,-0.068848,0.992920,0.305176,0.183105,-0.366211,9.985352,11.181641,-16.979980,"
1682921225.9551313,"13,0.078491,-0.068848,0.992920,0.366211,0.244141,-0.244141,9.985352,11.181641,-16.979980,"
1682921225.9711342,"13,0.079102,-0.069092,0.993164,0.366211,0.183105,-0.427246,9.985352,11.181641,-16.979980,"
1682921225.9871018,"7,0.078613,-0.069214,0.992065,0.488281,0.183105,-0.549316,10.131836,11.279297,-17.431641,"
1682921226.0063107,"3,0.078369,-0.067993,0.988159,0.488281,0.122070,-0.366211,10.131836,11.279297,-17.431641,"
1682921226.0287058,"15,0.078613,-0.067017,0.989502,0.427246,0.183105,-0.305176,10.131836,11.279297,-17.431641,"
1682921226.048146,"15,0.078247,-0.066650,0.990479,0.427246,0.183105,-0.488281,10.217285,10.546875,-16.894531,"
1682921226.0729682,"14,0.080078,-0.067017,0.992310,0.183105,0.183105,-0.488281,10.217285,10.546875,-16.894531,"
1682921226.0907896,"9,0.079102,-0.065918,0.993896,0.488281,0.061035,-0.305176,10.217285,10.546875,-16.894531,"
1682921226.107547,"12,0.079956,-0.067627,0.991089,0.427246,0.183105,-0.366211,10.217285,10.546875,-16.894531,"
1682921226.1253068,"6,0.077637,-0.067139,0.988770,0.427246,0.061035,-0.549316,9.582520,11.450195,-15.966797,"
1682921226.1415234,"3,0.077637,-0.067017,0.989502,0.427246,0.000000,-0.427246,9.582520,11.450195,-15.966797,"
1682921226.1570795,"6,0.078125,-0.067749,0.992432,0.122070,0.244141,-0.366211,9.582520,11.450195,-15.966797,"
1682921226.1738248,"10,0.079590,-0.068237,0.993652,0.427246,0.244141,-0.366211,9.912109,11.328125,-16.931152,"
1682921226.1899734,"4,0.079468,-0.068359,0.993896,0.488281,0.122070,-0.427246,9.912109,11.328125,-16.931152,"
1682921226.2109494,"14,0.078735,-0.067383,0.992065,0.366211,-0.122070,-0.488281,9.912109,11.328125,-16.931152,"
1682921226.2332997,"14,0.077881,-0.067749,0.990479,0.427246,0.122070,-0.427246,9.570312,11.071777,-15.783691,"
1682921226.2556083,"4,0.078369,-0.068481,0.989258,0.549316,0.183105,-0.427246,9.570312,11.071777,-15.783691,"
1682921226.2854161,"14,0.077515,-0.067627,0.992554,0.305176,0.122070,-0.488281,9.570312,11.071777,-15.783691,"
1682921226.3061745,"15,0.079590,-0.068115,0.993286,0.366211,0.366211,-0.427246,9.570312,11.071777,-15.783691,"
1682921226.33066,"8,0.078857,-0.067871,0.994629,0.366211,0.183105,-0.305176,10.278320,11.206055,-16.271973,"
1682921226.3526564,"10,0.080078,-0.065796,0.992920,0.549316,0.122070,-0.427246,10.278320,11.206055,-16.271973,"
1682921226.3738427,"12,0.078491,-0.066284,0.990112,0.305176,0.000000,-0.427246,10.278320,11.206055,-16.271973,"
1682921226.388844,"6,0.078491,-0.067627,0.993896,0.427246,0.122070,-0.305176,9.960938,11.059570,-15.930176,"
1682921226.4028423,"12,0.079102,-0.069092,0.992920,0.488281,0.183105,-0.366211,9.960938,11.059570,-15.930176,"
1682921226.4138432,"9,0.079224,-0.068481,0.995361,0.488281,0.183105,-0.305176,9.960938,11.059570,-15.930176,"
1682921226.424847,"11,0.080322,-0.068604,0.993896,0.366211,0.305176,-0.366211,9.863281,10.986328,-16.369629,"
1682921226.4338436,"12,0.077637,-0.067749,0.992798,0.488281,0.122070,-0.488281,9.863281,10.986328,-16.369629,"
1682921226.443845,"8,0.078613,-0.067139,0.992798,0.732422,0.061035,-0.305176,9.863281,10.986328,-16.369629,"
1682921226.4602032,"9,0.078613,-0.066650,0.992432,0.366211,0.000000,-0.305176,10.119629,11.254883,-16.918945,"
1682921226.4840126,"12,0.079468,-0.068237,0.993896,0.305176,0.244141,-0.488281,10.119629,11.254883,-16.918945,"
1682921226.5035064,"3,0.078613,-0.067627,0.995972,0.549316,0.244141,-0.671387,9.851074,11.108398,-16.308594,"
1682921226.520946,"6,0.078247,-0.066650,0.995361,0.671387,0.244141,-0.610352,9.851074,11.108398,-16.308594,"
1682921226.538322,"6,0.078735,-0.066650,0.993408,0.610352,0.427246,-0.549316,9.851074,11.108398,-16.308594,"
1682921226.558528,"12,0.078003,-0.067017,0.995972,0.610352,0.488281,-0.488281,9.924316,11.108398,-15.417480,"
1682921226.578247,"6,0.077759,-0.068481,0.997314,0.366211,0.244141,-0.427246,9.924316,11.108398,-15.417480,"
1682921226.601095,"10,0.078857,-0.067627,0.996338,0.305176,0.061035,-0.427246,9.924316,11.108398,-15.417480,"
1682921226.6249611,"10,0.078979,-0.068604,0.995483,0.427246,0.061035,-0.488281,9.924316,11.108398,-15.417480,"
1682921226.6484678,"12,0.077881,-0.068115,0.992920,0.488281,0.122070,-0.427246,9.484863,11.242676,-15.563965,"
1682921226.6698544,"14,0.078247,-0.067383,0.994629,0.427246,0.061035,-0.488281,9.484863,11.242676,-15.563965,"
1682921226.6921935,"6,0.079956,-0.068481,0.997803,0.488281,0.366211,-0.427246,9.472656,11.254883,-15.881348,"
1682921226.7180412,"6,0.079224,-0.068237,0.997437,0.427246,0.305176,-0.610352,9.472656,11.254883,-15.881348,"
1682921226.7387412,"5,0.079224,-0.068237,0.997437,0.427246,0.305176,-0.610352,9.472656,11.254883,-15.881348,"
1682921226.7620277,"13,0.079224,-0.067505,0.995361,0.183105,0.000000,-0.427246,9.472656,11.254883,-15.881348,"
1682921226.783741,"13,0.079224,-0.065552,0.996338,0.305176,-0.122070,-0.427246,9.655762,11.535645,-15.209961,"
1682921226.8050585,"10,0.078003,-0.066162,0.993652,0.366211,0.183105,-0.366211,9.655762,11.535645,-15.209961,"
